est1 est2 est3 est4 est5 est6 est7 est8 est9 est10 est11 est12 est13 est14 est15 est16 est17 est18 est19 est20 est21 est22 est23 est24 est25 est26 est27 est28 est29
20.40	1.80	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	20.40	8.10	2.80	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.60	0.00	0.00	1.00	0.00
0.00	1.10	4.40	0.80	0.00	0.30	0.00	0.00	3.50	0.00	0.00	27.40	1.10	14.20	0.00	0.00	0.00	0.00	0.00	0.00	0.00	32.40	0.00	0.00	0.00	14.60	0.00	0.00	0.00
0.00	0.00	0.00	2.40	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.20	0.00	13.70	5.40	0.00	25.00	13.20	62.40	0.00	0.00	0.00	18.20	1.60	1.20	0.00	0.00	2.70
80.60	0.00	0.00	0.60	0.00	4.20	12.20	0.00	0.00	0.00	0.00	3.20	0.00	2.00	2.30	14.60	16.30	14.10	0.00	0.00	0.00	18.20	54.00	0.00	23.80	52.20	0.00	0.00	2.50
0.00	2.60	27.60	0.80	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.80	29.40	0.00	4.20	33.10	13.00	22.60	7.40	6.90	0.00	48.00	55.20	101.60	63.40	0.00	0.00	1.30
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.10	0.00	6.20	0.00	0.00	1.10	0.00	52.30	5.60	0.70	0.80	0.00	2.60	0.00	0.00	0.00	0.00	0.40	0.00	0.00	0.00	0.00
28.40	0.40	5.60	1.20	0.00	0.20	3.40	8.20	13.20	3.80	0.00	6.60	0.00	0.00	19.60	2.40	1.50	0.30	0.00	0.00	0.00	0.00	5.80	30.10	0.00	13.80	3.20	9.40	0.00
0.00	0.20	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.60	0.00	0.00	12.70	0.00	1.60	0.00
0.00	0.00	0.00	0.60	11.40	30.00	8.20	7.60	8.20	39.80	10.00	8.80	0.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.30	0.00	0.00	0.00	0.00	0.00	73.00	0.00	1.80
47.40	2.40	4.20	16.00	50.00	0.00	28.40	21.00	18.20	9.80	10.60	0.00	5.40	15.60	0.00	6.80	5.10	22.20	18.60	26.20	11.20	0.00	0.00	0.00	58.40	19.00	38.70	18.80	24.50
14.60	42.40	8.00	15.00	42.00	0.00	4.40	4.60	0.00	30.20	0.00	0.00	15.10	6.00	0.00	8.20	2.80	0.20	0.00	1.80	11.90	28.20	27.40	0.60	0.00	10.30	4.70	7.00	2.10
63.40	59.80	24.20	46.60	5.60	4.20	16.20	41.40	15.90	25.70	31.80	6.80	12.60	11.40	0.00	2.60	4.10	5.80	6.80	22.20	0.00	72.40	0.00	0.00	0.00	0.00	24.80	11.00	23.40
50.20	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.90	0.00	0.00	0.80	20.20	0.00	0.00	23.20	1.20	10.60	133.20	53.40	0.00	29.30	85.10	18.00	31.40	3.00	0.00	0.00
